word,count
IRMÃ,112
NAAMÁ,5
ESCUTAI,12
MINHAS,316
PALAVRAS,588
MATEI,9
FERIR,40
MANCEBO,36
PISAR,11
VINGADO,4
CERTEZA,11
SETENTA,95
CONHECER,58
OUTRO,475
ENOS,9
TEMPO,501
HOMENS,1313
COMEÇARAM,36
INVOCAR,7
LIVRO,175
GERAÇÕES,112
VIVEU,42
CENTO,102
TRINTA,179
PÔS-LHE,11
DEPOIS,848
OITOCENTOS,16
FILHAS,247
NOVECENTOS,15
MORREU,173
CINCO,297
DOZE,189
NOVENTA,24
QUENÃ,6
QUINZE,30
MAALALEL,6
QUARENTA,159
DEZ,226
SESSENTA,73
JAREDE,8
MATUSALÉM,8
ANDOU,34
TREZENTOS,56
APARECEU,54
OITENTA,40
SETECENTOS,38
NOVE,39
NOÉ,52
CONSOLARÁ,6
ACERCA,168
NOSSAS,122
OBRAS,265
TRABALHO,127
MÃOS,574
PROVÊM,3
AMALDIÇOOU,6
QUINHENTOS,37
IDADE,61
CAM,16
JAFÉ,12
SUCEDEU,155
MULTIPLICAR-SE,1
NASCERAM,44
VIRAM,106
ERAM,375
FORMOSAS,15
TOMARAM,85
ESCOLHERAM,4
PERMANECERÁ,14
SEMPRE,415
SEUS,3120
VINTE,305
NAQUELES,63
NEFILINS,4
DERAM,92
ESSES,128
VALENTES,92
RENOME,7
ANTIGÜIDADE,26
GRANDE,776
MALDADE,70
IMAGINAÇÃO,5
PENSAMENTOS,51
CORAÇÃO,842
MÁ,27
CONTINUAMENTE,56
ARREPENDEU-SE,1
HAVER,74
PESOU,6
DESTRUIREI,35
CRIEI,12
TANTO,239
ANIMAL,77
ARREPENDO,3
ACHOU,76
GRAÇA,209
ESTAS,451
SÃO,1108
JUSTO,219
PERFEITO,47
ANDAVA,27
TRÊS,436
CORROMPIDA,2
DIANTE,1006
CHEIA,65
VIOLÊNCIA,61
CORROMPIDO,4
FIM,384
CHEGADO,78
PERANTE,453
JUNTAMENTE,183
FAZE,109
ARCA,234
MADEIRA,101
GÔFER,1
FARÁS,156
COMPARTIMENTOS,1
REVESTIRÁS,1
BETUME,4
DENTRO,180
DESTA,142
MANEIRA,132
COMPRIMENTO,85
CÔVADOS,203
LARGURA,102
CINQÜENTA,169
ALTURA,83
JANELA,20
CÔVADO,42
PORÁS,58
LADO,232
FÁ-LA-ÁS,1
ANDARES,20
BAIXO,43
TRAGO,9
DILÚVIO,19
DESTRUIR,70
EXPIRARÁ,1
CONTIGO,304
ESTABELECEREI,17
PACTO,293
ENTRARÁS,8
TEUS,1124
VIVE,114
CADA,714
ENTRAR,134
CONSERVARES,2
VIVOS,35
MACHO,14
FÊMEA,10
VIRÃO,72
LEVA,39
COME,55
AJUNTA-O,1
ALIMENTO,29
MANDOU,169
ENTRA,47
CASA,1969
VISTO,173
NESTA,60
GERAÇÃO,127
LIMPOS,17
LEVARÁS,12
CONSERVAR,6
PASSADOS,26
FAREI,309
NOITES,20
EXTERMINAREI,23
CRIATURAS,6
FIZ,135
ORDENARA,108
SEISCENTOS,64
VEIO,460
ENTROU,135
ENTRARAM,79
JUNTO,356
VIERAM,192
ANO,372
MÊS,250
DEZESSETE,13
ROMPERAM-SE,1
FONTES,33
JANELAS,28
ABRIRAM,12
CAIU,94
CHUVA,80
MESMO,620
PÁSSAROS,3
ORDENADO,73
DURANTE,49
CRESCERAM,5
LEVANTARAM,66
ELEVOU,10
PREVALECERAM,11
VAGAVA,1
EXCESSIVAMENTE,2
ALTOS,105
MONTES,163
COBERTOS,10
DELES,789
PERECEU,18
MOVIA,1
SECA,38
EXTERMINADAS,2
EXTERMINADOS,13
FICOU,175
SOMENTE,168
LEMBROU-SE,12
PASSAR,128
VENTO,129
DIMINUIR,2
CERRARAM-SE,1
DETEVE,8
RETIRANDO,3
MINGUAR,1
REPOUSOU,8
ARARÁ,4
MINGUANDO,2
DÉCIMO,60
APARECERAM,13
CUMES,8
SOLTOU,5
CORVO,8
SAINDO,65
IA,88
VOLTAVA,11
SECARAM,3
POMBA,19
TINHAM,286
MINGUADO,2
POUSAR,3
PÉ,243
VOLTOU,110
ESTENDENDO,23
TOMOU-A,9
RECOLHEU,9
CONSIGO,99
ESPEROU,5
OUTROS,370
SOLTAR,7
BICO,1
FOLHA,10
VERDE,25
OLIVEIRA,24
SOUBE,33
SECARAM-SE,2
TIROU,107
COBERTURA,15
OLHOU,29
ENXUTA,2
SAI,63
TRAZE-OS,2
REPRODUZAM,1
FRUTIFIQUEM,1
MULTIPLIQUEM,7
MOVE,9
FAMÍLIAS,178
ALTAR,388
LIMPO,73
LIMPA,19
OFERECEU,45
HOLOCAUSTOS,88
SENTIU,5
SUAVE,57
CHEIRO,64
TORNAREI,53
AMALDIÇOAR,8
MENINICE,2
ACABO,1
ENQUANTO,204
DURAR,8
SEMENTEIRA,4
CEIFA,21
FRIO,13
CALOR,24
VERÃO,65
INVERNO,11
TERÃO,50
PAVOR,21
VÓS,1671
VOSSAS,317
ENTREGUES,26
SERVIRÁ,39
REQUEREREI,10
VOSSO,500
VIDAS,18
SIM,332
DERRAMAR,11
TERÁ,101
DERRAMADO,19
POVOAI,1
NELA,231
ESTABELEÇO,2
CONVOSCO,176
VOSSA,303
SAÍRAM,111
DESTRUÍDA,17
PELAS,247
HAVERÁ,213
FIRMO,1
PERPÉTUAS,6
ARCO,59
POSTO,90
NUVENS,62
ACONTECERÁ,27
TROUXER,11
APARECER,7
LEMBRAREI,10
TORNARÃO,26
ESTARÁ,75
OLHAREI,4
LEMBRAR,5
PERPÉTUO,47
ESSE,209
ESTABELECIDO,14
CANAÃ,91
ESTES,508
DESTES,65
POVOADA,3
COMEÇOU,141
CULTIVAR,1
VINHA,129
BEBEU,13
VINHO,193
EMBRIAGOU-SE,1
ACHAVA-SE,8
TENDA,288
NUDEZ,49
CONTOU,31
IRMÃOS,560
CAPA,37
PUSERAM-NA,1
OMBROS,22
ANDANDO,58
VIRADOS,4
TRÁS,41
COBRIRAM,10
ROSTOS,41
DESPERTADO,4
MOÇO,80
SERVO,456
SERVOS,450
BENDITO,81
SEJA-LHE,3
ALARGUE,1
HABITE,19
GOMER,6
MAGOGUE,5
MADAI,2
JAVÃ,7
TUBAL,7
MESEQUE,9
TIRAS,4
ASQUENAZ,3
RIFATE,2
TOGARMA,4
