word,count
TORNOU,118
CONHECER,42
OUTRO,532
ENOS,9
COMEÇOU,135
INVOCAR,5
LIVRO,178
GERAÇÕES,105
VIVEU,42
CENTO,103
TRINTA,180
PÔS-LHE,9
DEPOIS,760
OITOCENTOS,16
FILHAS,250
NOVECENTOS,15
MORREU,159
CINCO,296
DOZE,188
NOVENTA,24
CAINÃ,10
QUINZE,32
MAALALEEL,7
QUARENTA,159
DEZ,231
SESSENTA,73
JEREDE,7
MATUSALÉM,8
ANDOU,42
TREZENTOS,56
APARECEU,48
OITENTA,40
SETECENTOS,38
NOVE,40
NOÉ,53
CONSOLARÁ,5
ACERCA,194
NOSSAS,136
OBRAS,256
TRABALHO,119
MÃOS,582
AMALDIÇOOU,6
QUINHENTOS,33
IDADE,111
CÃO,30
JAFÉ,11
HOMENS,1339
COMEÇARAM,28
MULTIPLICAR-SE,1
NASCERAM,32
VIRAM,93
ERAM,302
FORMOSAS,20
TOMARAM,112
ESCOLHERAM,2
CONTENDERÁ,4
SEMPRE,373
SEUS,3383
VINTE,311
NAQUELES,70
GIGANTES,15
ENTRARAM,72
DELAS,91
GERARAM,6
ESTES,554
VALENTES,66
ANTIGUIDADE,27
FAMA,36
MULTIPLICARA,1
IMAGINAÇÃO,5
PENSAMENTOS,58
CORAÇÃO,877
MÁ,34
CONTINUAMENTE,58
ARREPENDEU-SE,2
PESOU-LHE,1
DESTRUIREI,39
CRIEI,9
ARREPENDO,3
ACHOU,93
GRAÇA,215
JUSTO,228
PERFEITO,45
TRÊS,438
CORROMPIDA,4
ENCHEU-SE,8
VIOLÊNCIA,66
CORROMPIDO,7
FIM,257
VINDO,132
PERANTE,525
CHEIA,61
DESFAREI,3
FAZE,95
ARCA,233
MADEIRA,104
GOFER,1
FARÁS,172
COMPARTIMENTOS,1
BETUMARÁS,1
DENTRO,150
BETUME,4
DESTA,156
MANEIRA,187
CÔVADOS,216
COMPRIMENTO,85
CINQÜENTA,171
LARGURA,103
ALTURA,69
JANELA,19
CÔVADO,43
ACABARÁS,4
CIMA,190
PORÁS,63
FAR-LHE-ÁS,7
ANDARES,20
BAIXO,54
TRAGO,6
DILÚVIO,22
DESFAZER,4
EXPIRARÁ,1
CONTIGO,281
ESTABELECEREI,14
ALIANÇA,295
ENTRARÁS,9
TEUS,1157
VIVE,106
CADA,733
ENTRAR,113
CONSERVAR,9
VIVOS,36
MACHO,20
FÊMEA,12
VIRÃO,87
LEVA,38
COME,58
AJUNTA-A,1
MANDOU,175
ENTRA,42
CASA,2058
VISTO,157
NESTA,79
GERAÇÃO,157
LIMPOS,16
TOMARÁS,63
PASSADOS,26
FAREI,317
NOITES,22
SUBSTÂNCIA,1
FIZ,165
ORDENARA,93
SEISCENTOS,63
VEIO,467
ENTROU,131
JUNTO,363
VIERAM,194
ANO,371
MÊS,253
DEZESSETE,13
NAQUELE,300
MESMO,593
ROMPERAM,6
FONTES,36
GRANDE,797
JANELAS,28
ABRIRAM,11
CHUVA,82
ARRASTA,11
PÁSSAROS,2
QUALIDADE,4
ORDENADO,79
FECHOU,13
DUROU,2
CRESCERAM,4
LEVANTARAM,84
ELEVOU,7
PREVALECERAM,10
EXCESSIVAMENTE,4
ALTOS,110
MONTES,169
COBERTOS,11
ACIMA,25
EXPIROU,11
TANTO,175
DESTRUÍDO,38
EXTINTOS,2
FICOU,157
SOMENTE,127
LEMBROU-SE,11
SERES,25
PASSAR,138
VENTO,129
AQUIETARAM-SE,1
CERRARAM-SE,1
DETEVE-SE,2
IAM-SE,1
ESCOANDO,1
MINGUARAM,1
REPOUSOU,11
ARARATE,4
INDO,77
MINGUANDO,1
DÉCIMO,46
APARECERAM,8
CUMES,8
SOLTOU,5
CORVO,7
VOLTANDO,35
SECARAM,5
POMBA,18
TINHAM,259
MINGUADO,2
REPOUSO,54
PÉ,242
VOLTOU,95
ESTENDEU,71
TOMOU-A,13
RECOLHEU-A,1
CONSIGO,87
ESPEROU,5
OUTROS,371
ENVIAR,28
ARRANCADA,5
FOLHA,9
OLIVEIRA,24
BICO,1
ENVIOU,255
TIROU,117
COBERTURA,18
OLHOU,36
ENXUTA,1
SAI,69
TRAZE,9
POVOEM,1
FRUTIFIQUEM,1
FAMÍLIAS,179
ALTAR,380
LIMPO,72
LIMPA,24
OFERECEU,47
HOLOCAUSTO,200
SENTIU,7
SUAVE,58
CHEIRO,65
TORNAREI,50
AMALDIÇOAR,10
MENINICE,3
ENQUANTO,78
DURAR,5
SEMENTEIRA,3
SEGA,37
FRIO,13
CALOR,19
VERÃO,69
INVERNO,12
CESSARÃO,5
DISSE-LHES,262
TEMOR,136
PAVOR,15
NAS,815
VOSSAS,346
ENTREGUES,20
VOSSO,485
REQUEREREI,9
VIDAS,14
DERRAMAR,12
PELO,865
DERRAMADO,13
POVOAI,1
ESTABELEÇO,2
CONVOSCO,195
VOSSA,306
DESCENDÊNCIA,158
SAÍRAM,116
DESTRUÍDA,20
PELAS,245
HAVERÁ,227
DESTRUIR,64
PONHO,14
ETERNAS,7
ARCO,61
POSTO,100
NUVENS,64
ACONTECERÁ,56
TROUXER,10
APARECERÁ,14
LEMBRAREI,13
TORNARÃO,20
ESTARÁ,88
VEREI,20
LEMBRAR,10
ETERNA,78
ESTABELECIDO,11
CANAÃ,92
DESTES,69
POVOOU,1
VINHA,137
BEBEU,15
VINHO,191
EMBEBEDOU-SE,1
DESCOBRIU-SE,1
TENDA,277
NUDEZ,53
FÊ-LO,8
SABER,246
IRMÃOS,562
CAPA,27
PUSERAM-NA,1
OMBROS,21
VIRADOS,5
TRÁS,44
COBRIRAM,13
ROSTOS,58
DESPERTOU,13
SOUBE,21
SEJA,514
SERVO,479
SERVOS,469
BENDITO,81
SEJA-LHE,3
ALARGUE,1
HABITE,20
NASCERAM-LHES,1
GOMER,4
MAGOGUE,5
MADAI,2
JAVÃ,7
TUBAL,8
MESEQUE,9
TIRAS,4
ASQUENAZ,3
RIFATE,2
TOGARMA,4
ELISÁ,3
TÁRSIS,28
QUITIM,7
DODANIM,2
REPARTIDAS,2
ILHAS,35
GENTIOS,242
TERRAS,109
QUAL,711
LÍNGUA,140
NAÇÕES,340
MIZRAIM,4
PUTE,6
SEBÁ,7
SABTÁ,2
RAAMÁ,5
SABTECÁ,2
DEDÃ,11
NINRODE,4
PODEROSO,87
9,1
CAÇADOR,4
DIZ,1055
REINO,342
BABEL,2
EREQUE,1
ACADE,1
CALNÉ,1
SINAR,7
MESMA,160
NÍNIVE,18
REOBOTE-IR,1
CALÁ,2
RESEN,1
LUDIM,2
ANAMIM,2
LEABIM,2
NAFTUIM,2
PATRUSIM,2
CASLUIM,2
DONDE,21
FILISTEUS,254
CAFTORIM,2
SIDOM,34
PRIMOGÊNITO,114
HETE,14
JEBUSEU,13
AMORREU,13
GIRGASEU,2
HEVEU,7
ARQUEU,1
SINEU,1
ARVADEU,1
ZEMAREU,1
HAMATEU,1
ESPALHARAM,8
CANANEUS,59
TERMO,157
GERAR,14
GAZA,22
SODOMA,49
GOMORRA,24
ADMÁ,5
ZEBOIM,7
LASA,1
LÍNGUAS,42
ÉBER,15
VELHO,62
ELÃO,27
ASSUR,6
ARFAXADE,11
LUDE,4
ARÃ,9
UZ,8
HUL,2
GETER,2
MÁS,25
SELÁ,91
PELEGUE,7
REPARTIU,15
JOCTÃ,6
ALMODÁ,2
SELEFE,2
HAZARMAVÉ,2
JERÁ,2
HADORÃO,4
USAL,2
DICLA,2
OBAL,2
ABIMAEL,2
OFIR,13
JOBABE,9
HABITAÇÃO,58
MESSA,2
SEFAR,1
MONTANHA,55
DIVIDIDAS,2
FALA,160
PARTINDO,23
ACHARAM,72
VALE,152
HABITARAM,54
DISSERAM,365
EIA,9
TIJOLOS,12
QUEIMEMO-LOS,1
FOI-LHES,9
TIJOLO,2
CAL,5
EDIFIQUEMOS,5
TORRE,42
CUJO,127
CUME,41
TOQUE,2
FAÇAMO-NOS,2
SEJAMOS,20
ESPALHADOS,9
DESCEU,95
EDIFICAVAM,6
POVO,1837
COMEÇAM,1
RESTRIÇÃO,1
INTENTAREM,1
DESÇAMOS,2
CONFUNDAMOS,1
ENTENDA,8
ESPALHOU,18
CESSARAM,10
EDIFICAR,61
CONFUNDIU,2
CEM,111
QUATROCENTOS,55
REÚ,5
DUZENTOS,74
SERUGUE,5
NAOR,18
TERÁ,94
DEZENOVE,3
ABRÃO,61
HARÃ,21
LÓ,38
VIVO,84
NASCIMENTO,17
UR,5
CALDEUS,81
SARAI,18
MILCA,11
FILHA,305
ISCÁ,1
ESTÉRIL,23
NORA,17
IR,181
SAI-TE,3
PARENTELA,16
MOSTRAREI,12
FAR-TE-EI,6
NAÇÃO,132
ABENÇOAR-TE-EI,2
ENGRANDECEREI,2
BÊNÇÃO,61
ABENÇOAREI,9
ABENÇOAREM,5
AMALDIÇOAREI,3
AMALDIÇOAREM,3
BENDITAS,7
PARTIU,72
DITO,135
BENS,96
HAVIAM,77
ADQUIRIDO,6
ALMAS,82
ACRESCERAM,1
IREM,11
CHEGARAM,96
PASSOU,89
SIQUÉM,66
CARVALHO,24
MORÉ,3
DAREI,161
APARECERA,5
MOVEU-SE,7
BETEL,70
ARMOU,14
TENDO,249
OCIDENTE,72
AI,169
INVOCOU,7
CAMINHOU,4
SEGUINDO,15
SUL,154
FOME,153
NAQUELA,62
EGITO,602
PEREGRINAR,12
CHEGANDO,123
FORMOSA,42
EGÍPCIOS,109
VIREM,12
DIRÃO,47
MATAR-ME-ÃO,1
GUARDARÃO,7
DIZE,95
PEÇO-TE,68
VÁ,40
AMOR,281
ENTRANDO,75
MUI,70
VIRAM-NA,2
PRÍNCIPES,342
FARAÓ,275
GABARAM-NA,1
TEVE,102
VACAS,68
JUMENTOS,51
SERVAS,32
JUMENTAS,16
CAMELOS,49
FERIU,177
PRAGAS,22
DISSESTE,60
TOMEI,30
AQUI,340
TOMA-A,6
VAI-TE,15
ORDENS,30
RESPEITO,69
ACOMPANHARAM-NO,3
SUBIU,157
RICO,39
PRATA,314
JORNADAS,8
ESTIVERA,8
OUTRORA,6
IA,87
REBANHOS,42
CAPACIDADE,5
PODEREM,6
HABITAR,69
JUNTOS,59
MUITOS,340
PODIAM,48
CONTENDA,38
PASTORES,58
PERIZEUS,18
HABITAVAM,55
SOMOS,132
APARTA-TE,7
ESCOLHERES,2
ESQUERDA,76
IREI,46
DIREITA,156
CAMPINA,35
JORDÃO,196
REGADA,2
ANTES,468
TER,203
ZOAR,14
ESCOLHEU,37
APARTARAM-SE,1
CIDADES,454
MAUS,54
PECADORES,48
APARTOU,24
LEVANTA,50
OLHA,64
NORTE,158
VÊS,38
HEI,68
ALGUÉM,264
PUDER,7
CONTAR,21
CONTADA,4
LEVANTA-TE,115
PERCORRE,2
ESSA,35
MUDOU,12
CARVALHAIS,4
MANRE,10
ESTÃO,520
HEBROM,73
ANRAFEL,2
REI,2488
ARIOQUE,7
ELASAR,2
QUEDORLAOMER,5
TIDAL,2
GOIM,3
GUERRA,215
BERA,1
BIRSA,1
SINABE,1
SEMEBER,1
BELÁ,9
AJUNTARAM,49
SIDIM,3
SALGADO,11
SERVIDO,16
REBELARAM-SE,3
REIS,329
FERIRAM,76
REFAINS,5
ASTEROTE-CARNAIM,1
ZUZINS,1
HÃ,1
EMINS,3
SAVÉ-QUIRIATAIM,1
HOREUS,6
MONTE,345
SEIR,39
EL-PARÃ,1
DESERTO,332
TORNARAM,54
EN-MISPATE,1
CADES,18
AMALEQUITAS,26
AMORREUS,73
HAZAZOM-TAMAR,2
ORDENARAM,11
BATALHA,54
CHEIO,52
POÇOS,9
FUGIRAM,57
CAÍRAM,65
RESTANTES,14
FORAM-SE,25
HABITAVA,31
ESCAPARA,2
CONTOU,30
HEBREU,14
ESCOL,6
ANER,3
CONFEDERADOS,2
OUVINDO,188
PRESO,37
