word,count
DEZESSETE,7
FONTES,33
PROFUNDEZAS,46
JORRARAM,1
COMPORTAS,8
CHUVA,74
CAIU,94
NAQUELE,233
TÊM,338
ASAS,79
VOAM,9
TINHAM,359
FECHOU,10
DUROU,5
AUMENTARAM,4
ELEVARAM,2
ACIMA,76
PREVALECERAM,3
AUMENTANDO,5
FLUTUAVA,1
DOMINAVAM,2
COBERTAS,5
ALTAS,14
MONTANHAS,45
SUBIRAM,35
QUASE,39
PERECERAM,3
PEQUENAS,7
NAS,718
EXTERMINADOS,6
TANTO,247
RESTARAM,10
AQUELES,276
CINQÜENTA,112
LEMBROU-SE,9
ENVIOU,264
VENTO,128
BAIXAR,3
FECHARAM,9
PAROU,33
BAIXANDO,1
POUCO,173
DIMINUÍDO,7
DÉCIMO,123
POUSOU,2
ARARATE,4
CONTINUARAM,16
APARECERAM,9
TOPOS,1
PASSADOS,16
JANELA,15
FIZERA,33
ESPERANDO,23
TIVESSE,56
APARECIDO,10
SOLTOU,9
CORVO,5
DANDO,54
VOLTAS,5
POMBA,21
POUSAR,1
PÉS,238
ESTENDEU,44
APANHOU,38
VOLTA,207
ESPEROU,5
ENTARDECER,26
BICO,1
FOLHA,3
NOVA,70
OLIVEIRA,22
SABENDO,68
NOVO,187
ANO,331
SECARAM-SE,4
REMOVEU,7
VIGÉSIMO,20
COMPLETAMENTE,50
"""SAIA",13
SAIAM,31
FAÇA-OS,1
SAIR,80
ESPALHEM,3
"MULTIPLIQUEM""",1
SAIU,230
APÓS,63
CONSTRUIU,84
ALTAR,391
DEDICADO,18
TOMANDO,17
ALGUNS,316
OFERECEU-OS,2
HOLOCAUSTO,149
QUEIMANDO-OS,1
SENTIU,10
AROMA,44
"""NUNCA",11
AMALDIÇOAREI,3
INTEIRAMENTE,18
INCLINADO,3
DESDE,393
INFÂNCIA,8
NUNCA,261
FIZ,144
"""ENQUANTO",6
DURAR,4
PLANTIO,3
COLHEITA,99
FRIO,13
CALOR,26
VERÃO,76
INVERNO,17
JAMAIS,169
"CESSARÃO""",1
DIZENDO-LHES,18
TREMERÃO,11
DIANTE,803
ENTREGUES,27
VIVE,89
SERVIRÁ,23
DEI,72
COISAS,536
"""MAS",95
DERRAMAR,23
PEDIREI,8
CONTAS,26
PRÓXIMO,156
DERRAMADO,32
CRIADO,13
ESPALHEM-SE,1
PROLIFEREM,1
"NELA""",3
"""VOU",16
ESTABELECER,10
FUTUROS,9
DESCENDENTES,448
SAÍRAM,145
ESTABELEÇO,2
CEIFADA,3
PELAS,169
HAVERÁ,131
PROSSEGUIU,35
"""ESTE",68
ESTOU,333
FAZENDO,157
MIM,1051
GERAÇÕES,59
FUTURAS,12
ARCO,47
COLOQUEI,29
NUVENS,72
TROUXER,24
NELAS,55
APARECER,12
ARCO-ÍRIS,5
LEMBRAREI,9
ESTIVER,120
OLHAREI,10
ETERNA,71
VIVEM,122
CONCLUINDO,2
"""ESSE",11
ESTABELECI,8
CANAÃ,82
ESSES,250
PARTIR,45
POVOADA,2
PLANTAR,3
VINHA,113
BEBEU,15
VINHO,228
EMBRIAGOU-SE,1
TENDA,269
NUDEZ,17
CONTAR,63
IRMÃOS,414
PEGARAM,27
CAPA,29
LEVANTARAM-NA,1
OMBROS,32
ANDANDO,33
COSTAS,46
VEREM,22
COBRIRAM-NO,1
ACORDOU,10
EFEITO,5
DESCOBRIU,10
CAÇULA,14
"""MALDITO",20
SEJA,551
ESCRAVO,72
ESCRAVOS,80
"IRMÃOS""",5
"""BENDITO",23
AMPLIE,1
TERRITÓRIO,136
HABITE,9
"ESCRAVO""",1
TREZENTOS,35
NOVECENTOS,5
ESTES,379
GÔMER,8
MAGOGUE,5
MADAI,2
JAVÃ,5
TUBAL,8
MESEQUE,9
TIRÁS,2
ASQUENAZ,3
RIFATE,2
TOGARMA,2
ELISÁ,3
TÁRSIS,18
QUITIM,3
RODANIM,2
PROCEDEM,6
POVOS,207
MARÍTIMOS,1
QUAIS,208
SEPARARAM,9
LÍNGUA,124
CLÃS,142
NAÇÕES,567
MIZRAIM,5
FUTE,5
SEBÁ,4
SABTÁ,2
RAAMÁ,5
SABTECÁ,2
SABÁ,20
DEDÃ,9
NINRODE,3
PODEROSO,96
VALENTE,9
CAÇADORES,3
DIZ,763
"""VALENTE",1
"NINRODE""",1
INÍCIO,37
REINO,300
ABRANGIA,6
BABEL,2
EREQUE,2
ACADE,1
CALNÉ,2
SINEAR,6
DESSA,103
PARTIU,71
NÍNIVE,20
REOBOTE-IR,1
CALÁ,2
RESÉM,1
FICA,71
LUDITAS,2
ANAMITAS,2
LEABITAS,2
NAFTUÍTAS,2
PATRUSITAS,2
CASLUÍTAS,2
ORIGINARAM,2
FILISTEUS,202
CAFTORITAS,3
SIDOM,35
VELHO,108
HETE,2
JEBUSEUS,34
AMORREUS,81
GIRGASEUS,7
HEVEUS,25
ARQUEUS,2
SINEUS,2
ARVADEUS,2
ZEMAREUS,2
HAMATEUS,2
CANANEUS,61
ESPALHARAM,11
FRONTEIRAS,30
ESTENDIAM-SE,3
IAM,40
GERAR,15
CHEGAVAM,9
GAZA,22
PROSSEGUIAM,3
SODOMA,47
GOMORRA,22
ADMÁ,5
ZEBOIM,7
CHEGANDO,72
LASA,1
SÃO,1119
LÍNGUAS,41
TERRITÓRIOS,13
ANTEPASSADO,20
HÉBER,26
ELÃO,27
ASSUR,6
ARFAXADE,10
LUDE,3
ARÃ,15
UZ,8
HUL,2
GÉTER,2
SALÁ,8
PELEGUE,7
DIVIDIDA,12
CHAMOU-SE,2
JOCTÃ,6
ALMODÁ,2
SALEFE,2
HAZARMAVÉ,2
JERÁ,2
HADORÃO,4
UZAL,3
DICLA,2
OBAL,2
ABIMAEL,2
OFIR,12
JOBABE,9
REGIÃO,132
ESTENDIA-SE,4
MESSA,4
SEFAR,1
COLINAS,76
DISTRIBUÍDOS,3
DISPERSARAM,9
APENAS,205
MODO,178
FALAR,247
SAINDO,41
ORIENTE,35
ENCONTRARAM,50
